customer_id,gender,senior_citizen,tenure,contract_type,monthly_charges,total_charges,internet_service,streaming,security,tech_support,churn,tenure_group,high_monthly_charge,service_count,is_monthly_contract,churn_probability,risk_level,value_level,segment,recommended_action
7590-VHVEG,Female,0,1,Month-to-month,29.85,29.85,,0.0,0.0,0.0,0,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
5575-GNVDE,Male,0,34,One year,56.95,1889.5,,0.0,1.0,0.0,0,24+,0,1.0,0,0.05198743410243603,Low,Low,Low Risk - Low Value,No immediate action
3668-QPYBK,Male,0,2,Month-to-month,53.85,108.15,,0.0,1.0,0.0,1,0-6,0,1.0,1,0.3464363763225262,Medium,Low,Medium Risk - Low Value,
7795-CFOCW,Male,0,45,One year,42.3,1840.75,,0.0,1.0,1.0,0,24+,0,2.0,0,0.0346173266744999,Low,Low,Low Risk - Low Value,No immediate action
9237-HQITU,Female,0,2,Month-to-month,70.7,151.65,,0.0,0.0,0.0,1,0-6,1,0.0,1,0.6910625506926343,High,High,High Risk - High Value,Personal call + customized discount
9305-CDSKC,Female,0,8,Month-to-month,99.65,820.5,,1.0,0.0,0.0,1,6-12,1,1.0,1,0.6282520006785937,High,High,High Risk - High Value,Personal call + customized discount
1452-KIOVK,Male,0,22,Month-to-month,89.1,1949.4,,1.0,0.0,0.0,0,12-24,1,1.0,1,0.5300383531950449,Medium,High,Medium Risk - High Value,Loyalty reward
6713-OKOMC,Female,0,10,Month-to-month,29.75,301.9,,0.0,1.0,0.0,0,6-12,0,1.0,1,0.29612027793934753,Low,Low,Low Risk - Low Value,No immediate action
7892-POOKP,Female,0,28,Month-to-month,104.8,3046.05,,1.0,0.0,1.0,1,24+,1,2.0,1,0.46006820453712133,Medium,High,Medium Risk - High Value,Loyalty reward
6388-TABGU,Male,0,62,One year,56.15,3487.95,,0.0,1.0,0.0,0,,0,1.0,0,0.02384098184611686,Low,Low,Low Risk - Low Value,No immediate action
9763-GRSKD,Male,0,13,Month-to-month,49.95,587.45,,0.0,1.0,0.0,0,12-24,0,1.0,1,0.27838138998884887,Low,Low,Low Risk - Low Value,No immediate action
7469-LKBCI,Male,0,16,Two year,18.95,326.8,0.0,,,,0,12-24,0,0.0,0,0.09310086570124954,Low,Low,Low Risk - Low Value,No immediate action
8091-TTVAX,Male,0,58,One year,100.35,5681.1,,1.0,0.0,0.0,0,24+,1,1.0,0,0.09415914308495438,Low,High,Low Risk - High Value,Thank-you benefits
0280-XJGEX,Male,0,49,Month-to-month,103.7,5036.3,,1.0,0.0,0.0,1,24+,1,1.0,1,0.3408142302195204,Medium,High,Medium Risk - High Value,Loyalty reward
5129-JLPIS,Male,0,25,Month-to-month,105.5,2686.05,,1.0,1.0,1.0,0,24+,1,3.0,1,0.45501057564111097,Medium,High,Medium Risk - High Value,Loyalty reward
3655-SNQYZ,Female,0,69,Two year,113.25,7895.15,,1.0,1.0,1.0,0,,1,3.0,0,0.05755577001318962,Low,High,Low Risk - High Value,Thank-you benefits
8191-XWSZG,Female,0,52,One year,20.65,1022.95,0.0,,,,0,24+,0,0.0,0,0.03501612973233711,Low,Low,Low Risk - Low Value,No immediate action
9959-WOFKT,Male,0,71,Two year,106.7,7382.25,,1.0,1.0,0.0,0,,1,2.0,0,0.060287053698047655,Low,High,Low Risk - High Value,Thank-you benefits
4190-MFLUW,Female,0,10,Month-to-month,55.2,528.35,,0.0,0.0,1.0,1,6-12,0,1.0,1,0.29612027793934753,Low,Low,Low Risk - Low Value,No immediate action
4183-MYFRB,Female,0,21,Month-to-month,90.05,1862.9,,0.0,0.0,0.0,0,12-24,1,0.0,1,0.5637084484174356,Medium,High,Medium Risk - High Value,Loyalty reward
8779-QRDMV,Male,1,1,Month-to-month,39.65,39.65,,0.0,0.0,0.0,1,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
1680-VDCWW,Male,0,12,One year,19.8,202.25,0.0,,,,0,6-12,0,0.0,0,0.10332656583824175,Low,Low,Low Risk - Low Value,No immediate action
1066-JKSGK,Male,0,1,Month-to-month,20.15,20.15,0.0,,,,1,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
3638-WEABW,Female,0,58,Two year,59.9,3505.1,,0.0,0.0,1.0,0,24+,0,1.0,0,0.026683369524093607,Low,Low,Low Risk - Low Value,No immediate action
6322-HRPFA,Male,0,49,Month-to-month,59.6,2970.3,,0.0,1.0,1.0,0,24+,0,2.0,1,0.10914542225925927,Low,Low,Low Risk - Low Value,No immediate action
6865-JZNKO,Female,0,30,Month-to-month,55.3,1530.6,,0.0,1.0,0.0,0,24+,0,1.0,1,0.1909893431163483,Low,Low,Low Risk - Low Value,No immediate action
6467-CHFZW,Male,0,47,Month-to-month,99.35,4749.15,,1.0,0.0,0.0,1,24+,1,1.0,1,0.3539108222221873,Medium,High,Medium Risk - High Value,Loyalty reward
8665-UTDHZ,Male,0,1,Month-to-month,30.2,30.2,,0.0,0.0,0.0,1,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
5248-YGIJN,Male,0,72,Two year,90.25,6369.45,,1.0,1.0,1.0,0,,1,3.0,0,0.05303122362252519,Low,High,Low Risk - High Value,Thank-you benefits
8773-HHUOZ,Female,0,17,Month-to-month,64.7,1093.1,,1.0,0.0,0.0,1,12-24,0,1.0,1,0.2557731044144349,Low,Low,Low Risk - Low Value,No immediate action
3841-NFECX,Female,1,71,Two year,96.35,6766.95,,0.0,1.0,1.0,0,,1,2.0,0,0.060287053698047655,Low,High,Low Risk - High Value,Thank-you benefits
4929-XIHVW,Male,1,2,Month-to-month,95.5,181.65,,1.0,0.0,0.0,0,0-6,1,1.0,1,0.6677555038283068,High,High,High Risk - High Value,Personal call + customized discount
6827-IEAUQ,Female,0,27,One year,66.15,1874.45,,0.0,1.0,1.0,0,24+,0,2.0,0,0.05688305294374945,Low,Low,Low Risk - Low Value,No immediate action
7310-EGVHZ,Male,0,1,Month-to-month,20.2,20.2,0.0,,,,0,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
3413-BMNZE,Male,1,1,Month-to-month,45.25,45.25,,0.0,0.0,0.0,0,0-6,0,0.0,1,0.37781977241071196,Medium,Low,Medium Risk - Low Value,
6234-RAAPL,Female,0,72,Two year,99.9,7251.7,,1.0,1.0,1.0,0,,1,3.0,0,0.05303122362252519,Low,High,Low Risk - High Value,Thank-you benefits
6047-YHPVI,Male,0,5,Month-to-month,69.7,316.9,,0.0,0.0,0.0,1,0-6,0,0.0,1,0.3510645701538416,Medium,Low,Medium Risk - Low Value,
6572-ADKRS,Female,0,46,Month-to-month,74.8,3548.3,,0.0,0.0,0.0,0,24+,1,0.0,1,0.3855718627778491,Medium,High,Medium Risk - High Value,Loyalty reward
5380-WJKOV,Male,0,34,Month-to-month,106.35,3549.25,,1.0,0.0,0.0,1,24+,1,1.0,1,0.443652048498701,Medium,High,Medium Risk - High Value,Loyalty reward
8168-UQWWF,Female,0,11,Month-to-month,97.85,1105.4,,1.0,0.0,0.0,1,6-12,1,1.0,1,0.6077972081713429,High,High,High Risk - High Value,Personal call + customized discount
